serviceId,line,footnoteId,direction
1,1,2,1
2,1,2,1
3,1,2,1
4,1,2,1
5,1,2,1
6,1,2,1
7,1,2,1
8,1,2,1
9,1,2,1
10,1,2,1
11,1,2,1
12,1,2,1
13,1,2,1
14,1,2,1
15,1,2,1
17,1,2,2
16,1,2,2
19,1,2,2
18,1,2,2
21,1,2,2
20,1,2,2
23,1,2,2
22,1,2,2
25,1,2,2
24,1,2,2
27,1,2,2
26,1,2,2
29,1,2,2
28,1,2,2
31,1,3,1
30,1,2,2
34,1,3,1
35,1,3,1
32,1,3,1
33,1,3,1
38,1,3,1
39,1,3,1
36,1,3,1
37,1,3,1
42,1,3,1
43,1,3,1
40,1,3,1
41,1,3,1
46,1,3,2
47,1,3,2
44,1,3,1
45,1,3,1
51,1,3,2
50,1,3,2
49,1,3,2
48,1,3,2
55,1,3,2
54,1,3,2
53,1,3,2
52,1,3,2
59,1,3,2
58,1,3,2
57,1,3,2
56,1,3,2
63,1,4,1
62,1,4,1
61,1,4,1
60,1,3,2
68,1,4,1
69,1,4,1
70,1,4,1
71,1,4,1
64,1,4,1
65,1,4,1
66,1,4,1
67,1,4,1
76,1,4,2
77,1,4,2
78,1,4,2
79,1,4,2
72,1,4,1
73,1,4,1
74,1,4,1
75,1,4,1
85,1,4,2
84,1,4,2
87,1,4,2
86,1,4,2
81,1,4,2
80,1,4,2
83,1,4,2
82,1,4,2
93,1,5,1
92,1,5,1
95,1,5,1
94,1,5,1
89,1,4,2
88,1,4,2
91,1,5,1
90,1,4,2
102,1,5,1
103,1,5,1
100,1,5,1
101,1,5,1
98,1,5,1
99,1,5,1
96,1,5,1
97,1,5,1
110,1,5,2
111,1,5,2
108,1,5,2
109,1,5,2
106,1,5,2
107,1,5,2
104,1,5,1
105,1,5,1
119,1,5,2
118,1,5,2
117,1,5,2
116,1,5,2
115,1,5,2
114,1,5,2
113,1,5,2
112,1,5,2
127,1,6,1
126,1,6,1
125,1,6,1
124,1,6,1
123,1,6,1
122,1,6,1
121,1,6,1
120,1,5,2
137,1,6,2
136,1,6,2
139,1,6,2
138,1,6,2
141,1,6,2
140,1,6,2
143,1,6,2
142,1,6,2
129,1,6,1
128,1,6,1
